	a	b	c	d	e	f	g	h	i	j	k
0	0.018315196408918592	0.09878547589383987	0.13533364847264923	0.7918920428842847	0.7919613879482613	0.018713429222621508	0.09766738326993765	0.13679703660029155	0.7890539826133023	0.7892148403657621	221.0
1	0.017654924533928546	0.09759571890583794	0.1328718349911995	0.7955332007351753	0.797122504401984	0.016928976794300752	0.0962636685962268	0.130111401476968	0.7961243353729957	0.7974931424824266	231.0
2	0.020248470398511288	0.10862860035331706	0.14229712013428553	0.7733245776005165	0.7945019072044095	0.020493932306189958	0.10820096206164856	0.14315701975869	0.7599893625366225	0.7834562565814827	226.0
3	0.027539031498107373	0.12679242629556142	0.16594888218396464	0.6634932241911518	0.7002362832154573	0.02737091989820651	0.12745380334186515	0.16544159059379993	0.6685679569016194	0.7130466143651975	234.0
4	0.02036604151058902	0.10166533127847181	0.1427096405663928	0.761166244706387	0.778465598697251	0.01926938797067198	0.09925693982583014	0.13881422106784297	0.7722656924927933	0.7850331101973435	242.0
5	0.018780352881321495	0.10284420823092096	0.13704142760976148	0.7562196188627133	0.7576039816138329	0.0186077338047753	0.10246784226413655	0.13641016752711396	0.7630293790302345	0.7639356690501697	247.0
6	0.022503118605821538	0.10788716136255828	0.15001039499255223	0.7244172106846627	0.7635846478922894	0.022098013711945707	0.10807017170288649	0.14865400671339374	0.7236486506705788	0.7667357694895254	250.0
7	0.017854596647894416	0.09807822328902391	0.13362109357393545	0.7890402958041116	0.7892562700782453	0.01932173366141195	0.10026638654483609	0.1390026390447748	0.7675115562840372	0.7680606509251411	256.0
8	0.019950977886452878	0.10203080321004876	0.14124793055635498	0.7649243279532294	0.7742605125657581	0.01928897435284752	0.09974414196610895	0.13888475205308723	0.7795684302979948	0.7890402030294189	255.0
9	0.018673147555664613	0.09968087127372674	0.1366497257796905	0.7822271329310458	0.783047332587617	0.01991791949261782	0.103275962365982	0.14113085946247836	0.7655513486828923	0.7664645111302087	248.0
10	0.019005867364921842	0.10187186688028825	0.13786176904755662	0.7798448608107238	0.7864274781257085	0.01746167997228598	0.09774119055546046	0.13214265008802412	0.7903483948597978	0.7952688809355477	263.0
11	0.021565172217877234	0.11191143467228568	0.14685085024567354	0.7075251172308032	0.7102518910005399	0.020597244354957307	0.10920853537539302	0.14351740087862971	0.721338675109972	0.7247984499263876	275.0
12	0.018418357996491365	0.09990341559949843	0.13571425126526457	0.7997587546573333	0.799883697362696	0.017796256119550515	0.09700104618434494	0.1334026091182272	0.8014204074856667	0.8017197418740075	282.0
13	0.01910878246005399	0.09965155498497566	0.13823451978450965	0.7669756839480285	0.7767706838583244	0.019748622892844583	0.10131404033314109	0.1405297936127588	0.7638733534170066	0.7728178076154921	283.0
14	0.01694218801536185	0.09274872554420115	0.13016216045902837	0.8101599180690804	0.8110338387078633	0.017645384180754526	0.09532784473518707	0.1328359295550512	0.8019025601816098	0.803636030181316	285.0
